subject,class,chapter_order,chapter,concept,asset_slug,archetype_v2,v2_confidence,route,route_reason
bio,11,6,Anatomy of Flowering Plants,Anatomy of Dicot and Monocot Stem,bio11-ch6-anatomy-of-dicot-and-monocot-stem,labelled_figure,high,illustration,in illustration-manifest.csv
bio,11,6,Anatomy of Flowering Plants,Anatomy of Dorsiventral and Isobilateral Leaf,bio11-ch6-anatomy-of-dorsiventral-and-isobilateral-leaf,labelled_figure,high,illustration,in illustration-manifest.csv
bio,11,6,Anatomy of Flowering Plants,"Annual Rings, Heartwood and Sapwood",bio11-ch6-annual-rings--heartwood-and-sapwood,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,6,Anatomy of Flowering Plants,"Cork Cambium, Periderm and Lenticels",bio11-ch6-cork-cambium--periderm-and-lenticels,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,6,Anatomy of Flowering Plants,"Epidermal Tissue System: Epidermis, Stomata and Trichomes",bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,6,Anatomy of Flowering Plants,"Meristems: Types, Location and Function",bio11-ch6-meristems--types--location-and-function,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,6,Anatomy of Flowering Plants,Phloem: Structure and Conducting Elements,bio11-ch6-phloem--structure-and-conducting-elements,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,6,Anatomy of Flowering Plants,Secondary Growth in Dicot Stem: Vascular Cambium,bio11-ch6-secondary-growth-in-dicot-stem--vascular-cambium,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,6,Anatomy of Flowering Plants,"Simple Permanent Tissues: Parenchyma, Collenchyma and Sclerenchyma",bio11-ch6-simple-permanent-tissues--parenchyma--collenchyma-and-sclerenchyma,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,6,Anatomy of Flowering Plants,Xylem: Structure and Conducting Elements,bio11-ch6-xylem--structure-and-conducting-elements,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,7,Structural Organisation in Animals,"Cockroach: Circulatory, Respiratory and Excretory Systems",bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,7,Structural Organisation in Animals,Cockroach: Morphology and Digestive System,bio11-ch7-cockroach--morphology-and-digestive-system,labelled_figure,high,illustration,in illustration-manifest.csv
bio,11,7,Structural Organisation in Animals,Cockroach: Nervous System and Reproduction,bio11-ch7-cockroach--nervous-system-and-reproduction,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,7,Structural Organisation in Animals,Connective Tissue: Types and Matrix,bio11-ch7-connective-tissue--types-and-matrix,none_symbolic,med,illustration,in illustration-manifest.csv
bio,11,7,Structural Organisation in Animals,"Earthworm: Circulatory, Excretory and Reproductive Systems",bio11-ch7-earthworm--circulatory--excretory-and-reproductive-systems,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,7,Structural Organisation in Animals,Earthworm: Morphology and Digestive System,bio11-ch7-earthworm--morphology-and-digestive-system,labelled_figure,high,illustration,in illustration-manifest.csv
bio,11,7,Structural Organisation in Animals,"Epithelial Tissue: Types, Location and Cell Junctions",bio11-ch7-epithelial-tissue--types--location-and-cell-junctions,labelled_figure,med,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,7,Structural Organisation in Animals,Frog: Circulatory and Respiratory Systems,bio11-ch7-frog--circulatory-and-respiratory-systems,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,7,Structural Organisation in Animals,Frog: Circulatory and Respiratory Systems,bio11-ch7-frog--circulatory-and-respiratory-systems--a,labelled_figure,med,svg,"frog heart, ventral view: 2 atria + 1 ventricle, sinus venosus, conus arteriosus, truncus splitting into carotid/systemic/pulmocutaneous arches on each side. A SUB-ASSET of the parent illustration, not a replacement: the parent plate stays on the illustration route. Gemini cannot draw this one, so it is authored as a schematic SVG and goes through scripts/verify-render.mjs like the other 100."
bio,11,7,Structural Organisation in Animals,"Frog: Excretory, Nervous and Reproductive Systems",bio11-ch7-frog--excretory--nervous-and-reproductive-systems,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,7,Structural Organisation in Animals,Frog: External Morphology and Digestive System,bio11-ch7-frog--external-morphology-and-digestive-system,labelled_figure,high,illustration,in illustration-manifest.csv
bio,11,7,Structural Organisation in Animals,"Muscular Tissue: Skeletal, Smooth and Cardiac",bio11-ch7-muscular-tissue--skeletal--smooth-and-cardiac,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,7,Structural Organisation in Animals,Neural Tissue: Neurons and Neuroglia,bio11-ch7-neural-tissue--neurons-and-neuroglia,none_symbolic,low,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,8,Cell: The Unit of Life,Cell Membrane: Fluid Mosaic Model and Transport,bio11-ch8-cell-membrane--fluid-mosaic-model-and-transport,labelled_figure,med,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,8,Cell: The Unit of Life,Cell Theory and Overview of Cell Types,bio11-ch8-cell-theory-and-overview-of-cell-types,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,8,Cell: The Unit of Life,Cell Wall: Structure and Composition,bio11-ch8-cell-wall--structure-and-composition,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,8,Cell: The Unit of Life,Centrosome and Centrioles,bio11-ch8-centrosome-and-centrioles,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,8,Cell: The Unit of Life,Chromosome Types by Centromere Position,bio11-ch8-chromosome-types-by-centromere-position,labelled_figure,med,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,8,Cell: The Unit of Life,Cilia and Flagella: Axoneme Organisation,bio11-ch8-cilia-and-flagella--axoneme-organisation,labelled_figure,med,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,8,Cell: The Unit of Life,Cytoskeleton: Microtubules and Microfilaments,bio11-ch8-cytoskeleton--microtubules-and-microfilaments,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,8,Cell: The Unit of Life,"Endomembrane System: ER, Golgi Complex and Lysosomes",bio11-ch8-endomembrane-system--er--golgi-complex-and-lysosomes,labelled_figure,med,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,8,Cell: The Unit of Life,Mitochondria and Plastids: Structure and Semi-autonomy,bio11-ch8-mitochondria-and-plastids--structure-and-semi-autonomy,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,8,Cell: The Unit of Life,"Nucleus: Nuclear Envelope, Nucleolus and Chromatin",bio11-ch8-nucleus--nuclear-envelope--nucleolus-and-chromatin,labelled_figure,med,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,8,Cell: The Unit of Life,"Prokaryotic Cell: Cell Envelope, Mesosome, Nucleoid and Plasmid",bio11-ch8-prokaryotic-cell--cell-envelope--mesosome--nucleoid-and-plas,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,8,Cell: The Unit of Life,Ribosomes in Prokaryotes and Eukaryotes,bio11-ch8-ribosomes-in-prokaryotes-and-eukaryotes,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,8,Cell: The Unit of Life,"Vacuoles, Microbodies and Cell Inclusions",bio11-ch8-vacuoles--microbodies-and-cell-inclusions,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,11,Photosynthesis in Higher Plants,Chloroplast Structure and Sites of the Two Reactions,bio11-ch11-chloroplast-structure-and-sites-of-the-two-reactions,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,11,Photosynthesis in Higher Plants,Early Experiments in Photosynthesis,bio11-ch11-early-experiments-in-photosynthesis,apparatus,med,svg,archetype_v2=apparatus maps to no registry widget
bio,11,14,Breathing and Exchange of Gases,Human Respiratory System: Structure of the Respiratory Tract,bio11-ch14-human-respiratory-system--structure-of-the-respiratory-tract,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,14,Breathing and Exchange of Gases,Pulmonary Volumes and Capacities,bio11-ch14-pulmonary-volumes-and-capacities,gap_spirogram,low,svg,archetype_v2=gap_spirogram maps to no registry widget
bio,11,14,Breathing and Exchange of Gases,Respiratory Organs Across Animal Groups,bio11-ch14-respiratory-organs-across-animal-groups,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,15,Body Fluids and Circulation,"Formed Elements: RBC, WBC and Platelets",bio11-ch15-formed-elements--rbc--wbc-and-platelets,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,15,Body Fluids and Circulation,Lymph: Composition and Functions,bio11-ch15-lymph--composition-and-functions,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,15,Body Fluids and Circulation,Plasma Composition and Plasma Proteins,bio11-ch15-plasma-composition-and-plasma-proteins,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,15,Body Fluids and Circulation,Structure of the Human Heart and Its Chambers,bio11-ch15-structure-of-the-human-heart-and-its-chambers,labelled_figure,high,illustration,in illustration-manifest.csv
bio,11,16,Excretory Products and their Elimination,"Accessory Excretory Roles of Lungs, Liver and Skin",bio11-ch16-accessory-excretory-roles-of-lungs--liver-and-skin,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,16,Excretory Products and their Elimination,Excretory Organs in Invertebrates,bio11-ch16-excretory-organs-in-invertebrates,labelled_figure,med,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,16,Excretory Products and their Elimination,Kidney Disorders and Haemodialysis,bio11-ch16-kidney-disorders-and-haemodialysis,none_symbolic,low,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,16,Excretory Products and their Elimination,Nephron Structure and Types,bio11-ch16-nephron-structure-and-types,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,16,Excretory Products and their Elimination,Structure of the Human Kidney and Urinary Tract,bio11-ch16-structure-of-the-human-kidney-and-urinary-tract,labelled_figure,high,illustration,in illustration-manifest.csv
bio,11,17,Locomotion and Movement,Appendicular Skeleton: Girdles and Limb Bones,bio11-ch17-appendicular-skeleton--girdles-and-limb-bones,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,17,Locomotion and Movement,"Axial Skeleton: Skull, Vertebral Column, Ribs and Sternum",bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum,labelled_figure,high,illustration,in illustration-manifest.csv
bio,11,17,Locomotion and Movement,Disorders of the Muscular and Skeletal System,bio11-ch17-disorders-of-the-muscular-and-skeletal-system,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,17,Locomotion and Movement,"Muscle Proteins: Actin, Myosin and Regulatory Proteins",bio11-ch17-muscle-proteins--actin--myosin-and-regulatory-proteins,labelled_figure,med,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,17,Locomotion and Movement,Red and White Muscle Fibres,bio11-ch17-red-and-white-muscle-fibres,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,17,Locomotion and Movement,Structure of Skeletal Muscle Fibre and the Sarcomere,bio11-ch17-structure-of-skeletal-muscle-fibre-and-the-sarcomere,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,17,Locomotion and Movement,"Types of Joints: Fibrous, Cartilaginous and Synovial",bio11-ch17-types-of-joints--fibrous--cartilaginous-and-synovial,none_symbolic,low,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,17,Locomotion and Movement,"Types of Movement: Amoeboid, Ciliary and Muscular",bio11-ch17-types-of-movement--amoeboid--ciliary-and-muscular,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,18,Neural Control and Coordination,Autonomic Nervous System: Sympathetic and Parasympathetic,bio11-ch18-autonomic-nervous-system--sympathetic-and-parasympathetic,data_table_trend,med,svg,"archetype_v2=data_table_trend but v2_confidence=med; med leans none, so author the schematic"
bio,11,18,Neural Control and Coordination,Human Brain: Forebrain Structure and Functions,bio11-ch18-human-brain--forebrain-structure-and-functions,labelled_figure,high,illustration,in illustration-manifest.csv
bio,11,18,Neural Control and Coordination,Human Brain: Midbrain and Hindbrain,bio11-ch18-human-brain--midbrain-and-hindbrain,labelled_figure,high,illustration,in illustration-manifest.csv
bio,11,18,Neural Control and Coordination,"Meninges, Ventricles and Cerebrospinal Fluid",bio11-ch18-meninges--ventricles-and-cerebrospinal-fluid,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,18,Neural Control and Coordination,Neuron Structure and Types,bio11-ch18-neuron-structure-and-types,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,18,Neural Control and Coordination,Organisation of the Neural System in Animals,bio11-ch18-organisation-of-the-neural-system-in-animals,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,18,Neural Control and Coordination,Peripheral Nervous System: Cranial and Spinal Nerves,bio11-ch18-peripheral-nervous-system--cranial-and-spinal-nerves,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,18,Neural Control and Coordination,Spinal Cord: Structure and Functions,bio11-ch18-spinal-cord--structure-and-functions,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,19,Chemical Coordination and Integration,"Hormones of the Heart, Kidney and Gastrointestinal Tract",bio11-ch19-hormones-of-the-heart--kidney-and-gastrointestinal-tract,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,1,Sexual Reproduction in Flowering Plants,Ovule (Megasporangium) Structure and Types,bio12-ch1-ovule--megasporangium--structure-and-types,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,12,2,Human Reproduction,"Female Reproductive System: Ovary, Oviduct, Uterus and Mammary Gland",bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma,labelled_figure,high,illustration,in illustration-manifest.csv
bio,12,2,Human Reproduction,"Male Reproductive System: Testis, Ducts and Accessory Glands",bio12-ch2-male-reproductive-system--testis--ducts-and-accessory-glands,labelled_figure,high,illustration,in illustration-manifest.csv
bio,12,2,Human Reproduction,"Placenta: Structure, Functions and Hormones",bio12-ch2-placenta--structure--functions-and-hormones,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,3,Reproductive Health,Amniocentesis and Prenatal Sex-Determination Misuse,bio12-ch3-amniocentesis-and-prenatal-sex-determination-misuse,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,3,Reproductive Health,"Reproductive Health Programmes and Strategies (RCH, Family Planning)",bio12-ch3-reproductive-health-programmes-and-strategies--rch--family-p,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,5,Molecular Basis of Inheritance,Hershey-Chase Experiment,bio12-ch5-hershey-chase-experiment,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,5,Molecular Basis of Inheritance,Meselson-Stahl Experiment,bio12-ch5-meselson-stahl-experiment,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,5,Molecular Basis of Inheritance,Search for Genetic Material: Griffith's Transformation and Avery-MacLeod-McCarty,bio12-ch5-search-for-genetic-material--griffith-s-transformation-and-a,data_table_trend,med,svg,"archetype_v2=data_table_trend but v2_confidence=med; med leans none, so author the schematic"
bio,12,5,Molecular Basis of Inheritance,"Types and Structure of RNA (mRNA, tRNA, rRNA)",bio12-ch5-types-and-structure-of-rna--mrna--trna--rrna,labelled_figure,med,svg,archetype_v2=labelled_figure maps to no registry widget
bio,12,6,Evolution,Origin of Life: Oparin-Haldane Theory and Miller-Urey Experiment,bio12-ch6-origin-of-life--oparin-haldane-theory-and-miller-urey-experi,apparatus,med,svg,archetype_v2=apparatus maps to no registry widget
bio,12,7,Human Health and Disease,"Common Infectious Diseases: Bacterial, Viral, Fungal, Protozoan and Helminthic",bio12-ch7-common-infectious-diseases--bacterial--viral--fungal--protoz,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,7,Human Health and Disease,Lymphoid Organs: Primary and Secondary,bio12-ch7-lymphoid-organs--primary-and-secondary,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,8,Microbes in Human Welfare,Antibiotics and Their Microbial Production,bio12-ch8-antibiotics-and-their-microbial-production,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,8,Microbes in Human Welfare,Biogas Production and Methanogens,bio12-ch8-biogas-production-and-methanogens,apparatus,med,svg,archetype_v2=apparatus maps to no registry widget
bio,12,8,Microbes in Human Welfare,Fermented Beverages: Brewing and Distillation,bio12-ch8-fermented-beverages--brewing-and-distillation,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,8,Microbes in Human Welfare,"Industrial Chemicals, Enzymes and Bioactive Molecules from Microbes",bio12-ch8-industrial-chemicals--enzymes-and-bioactive-molecules-from-m,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,8,Microbes in Human Welfare,"Microbes in Household Products (Curd, Dough, Cheese, Toddy)",bio12-ch8-microbes-in-household-products--curd--dough--cheese--toddy,process_flow,med,svg,"archetype_v2=process_flow but v2_confidence=med; med leans none, so author the schematic"
bio,12,8,Microbes in Human Welfare,"Sewage Treatment: Primary, Secondary and BOD",bio12-ch8-sewage-treatment--primary--secondary-and-bod,process_flow,high,widget:process_flow,"archetype_v2 high-confidence, widget in registry"
bio,12,9,Biotechnology: Principles and Processes,Bioreactors and Downstream Processing,bio12-ch9-bioreactors-and-downstream-processing,process_flow,low,svg,"archetype_v2=process_flow but v2_confidence=low; med leans none, so author the schematic"
bio,12,9,Biotechnology: Principles and Processes,Gel Electrophoresis and Elution of DNA Fragments,bio12-ch9-gel-electrophoresis-and-elution-of-dna-fragments,apparatus,high,svg,archetype_v2=apparatus maps to no registry widget
bio,12,9,Biotechnology: Principles and Processes,"Introducing Recombinant DNA into Host Cells (Competent Cells, Gene Gun, Microinjection)",bio12-ch9-introducing-recombinant-dna-into-host-cells--competent-cells,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,9,Biotechnology: Principles and Processes,Isolation of DNA from Cells (Lysis and Purification),bio12-ch9-isolation-of-dna-from-cells--lysis-and-purification,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,9,Biotechnology: Principles and Processes,"PCR: Principle, Steps and Applications",bio12-ch9-pcr--principle--steps-and-applications,process_flow,med,svg,"archetype_v2=process_flow but v2_confidence=med; med leans none, so author the schematic"
bio,12,10,Biotechnology and its Applications,"Molecular Diagnosis: PCR, ELISA and DNA Probes",bio12-ch10-molecular-diagnosis--pcr--elisa-and-dna-probes,apparatus,low,svg,archetype_v2=apparatus maps to no registry widget
bio,12,11,Organisms and Populations,Ecological Niche and Habitat,bio12-ch11-ecological-niche-and-habitat,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,12,11,Organisms and Populations,Levels of Ecological Organisation (Organism to Biome),bio12-ch11-levels-of-ecological-organisation--organism-to-biome,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
chem,11,1,Some Basic Concepts,Dilution and Mixing of Solutions,chem11-ch1-dilution-and-mixing-of-solutions,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
chem,11,1,Some Basic Concepts,"Volumetric Analysis: Normality, Equivalent Weight and Titration Calculations",chem11-ch1-volumetric-analysis--normality--equivalent-weight-and-titrat,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
chem,11,7,Redox Reactions,"Redox Titrations, Equivalent Mass and n-Factor Calculations",chem11-ch7-redox-titrations--equivalent-mass-and-n-factor-calculations,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
chem,11,8,General Organic Chemistry,"Purification of Organic Compounds: Crystallisation, Distillation and Chromatography",chem11-ch8-purification-of-organic-compounds--crystallisation--distilla,UNVERIFIED_no_chunks,none,svg,archetype_v2=UNVERIFIED_no_chunks maps to no registry widget
chem,11,8,General Organic Chemistry,Qualitative Analysis: Detection of Elements by Lassaigne's Test,chem11-ch8-qualitative-analysis--detection-of-elements-by-lassaigne-s-t,UNVERIFIED_no_chunks,none,svg,archetype_v2=UNVERIFIED_no_chunks maps to no registry widget
