subject,class_level,chapter_order,concept,exams,archetype,build_class,archetype_v2,v2_confidence,v2_evidence,v2_top_sim
physics,11,3,Motion in Two Dimensions,b,motion_path,widget,gap_vector_trajectory,high,"Fig 3.3 rendered twice: curved x-y trajectory with r0, r, delta-r and tangent velocity vectors v0, v, plus dashed axis projections. Vectors on a path, outside xy_plot's five forms.",0.6182
physics,11,3,Relative Velocity in a Plane,b,motion_path,widget,gap_river_boat_diagram,med,"Figure 3.5 drawn: river with current arrows; Scenario 1 minimum time (across, resultant tilted, drift), Scenario 2 shortest path (aimed upstream at theta), width d.",0.6212
physics,11,3,Projectile Motion,b,motion_path,widget,projectile_motion,high,"Figure 3.4 is one ideal parabola from origin O to B on level ground, u at angle theta, apex H with v_y=0, range R. Matches the widget's single-parabola level-ground case.",0.6099
physics,11,3,Circular Motion Kinematics,b,motion_path,widget,gap_circular_motion_diagram,high,"Figure 3.6 drawn: circle centre O, tangent velocities v1 at P and v2 at Q subtending Delta-theta, plus the tail-to-tail isosceles velocity triangle with Delta-v toward O.",0.5924
physics,11,3,Circular Motion Dynamics,b,motion_path,widget,gap_free_body_diagram,med,Chunk 7 carries the banked-road figure: N resolved into N cos(theta) balancing mg and N sin(theta) toward the turn centre at distance r. A free-body diagram - a server template.,0.5895
physics,11,4,Newton's Laws and Impulse,b,motion_path,widget,none_symbolic,high,"All 10 chunks are definitions, F=dp/dt derivations, a formula cheat-sheet and worked numbers. The F-t graph is only cited as 'area under the force-time graph', never plotted.",0.6675
physics,11,4,Common Forces in Mechanics and Free-Body Diagrams,b,free_body_forces,widget,gap_free_body_diagram,low,PASSES DISAGREE (process_flow vs gap_free_body_diagram); demoted. 'The FBD method (use it every single time): 1. Isolate one body. 2. Draw only the forces acting on that body...' Body-with-force-arrow,0.6394
physics,11,4,Concurrent Forces and Equilibrium,b,free_body_forces,widget,none_symbolic,low,"PASSES DISAGREE (none_symbolic vs gap_vector_resolution); demoted. Lami's theorem, resolution and the incline derivation are pure algebra; the force triangle is only described in prose ('drew their th",0.6449
physics,11,4,"Connected Bodies, Pulleys and Constraint Relations",b,free_body_forces,widget,process_flow,med,"'The universal recipe for connected bodies: 1. Decide the direction... 5. Solve', plus Addendum A 'Method 1. Assign coordinates ... 4. Write sum F = ma'. Chain of 4-5 named steps.",0.5988
physics,11,4,Momentum Conservation,b,motion_path,widget,none_symbolic,high,"Intuition prose (rocket, recoil) plus conservation/restitution/thrust formulas and worked recoil numbers. No figure, graph or table anywhere in the retrieved chunks.",0.6321
physics,11,4,Friction,b,free_body_forces,widget,none_symbolic,high,"Static/kinetic laws, angle of repose, minimum-drag optimisation, worked numbers. The 'definition-plus-graph question' is mentioned as an exam format; no graph is plotted.",0.5554
physics,11,4,Circular Motion Dynamics (Banking),b,motion_path,widget,labelled_figure,high,'Figure 4.6 A vehicle on a road banked at angle t; normal reaction N ... resolved into N cos t and N sin t; weight mg straight down' and Figure 4.7 add friction f = mu N.,0.5383
physics,11,4,Vertical Circular Motion,b,motion_path,widget,none_symbolic,med,"Content is the radial equation, energy link and critical speeds. The only figures retrieved (4.6/4.7 banking, 4.8 well of death) belong to the horizontal-circle subtopic.",0.5325
physics,11,4,Non-Inertial Frames and Pseudo Forces,b,free_body_forces,widget,none_symbolic,high,"Retrieved text is F_pseudo = -m a0, apparent-weight formulas R=m(g+-a), Lami/equilibrium definitions. No figure, plotted graph or value table.",0.5371
physics,11,5,Work Done by a Force,b,free_body_forces,widget,labelled_figure,high,Printed caption: 'Three side-by-side panels of a block on a surface with a displacement arrow... labelled Positive work / Negative work / Zero work.' A drawn scene with callouts.,0.6493
physics,11,5,Kinetic Energy,b,free_body_forces,widget,none_symbolic,high,K = 1/2 mv^2 = p^2/2m plus PE-relation formulas and worked numbers; the U(x) curve figure of subtopic 2 does not appear in this concept's chunks.,0.5387
physics,11,5,Work-Energy Theorem,b,free_body_forces,widget,none_symbolic,med,"The concept is the 5-step calculus derivation W=integral F dx -> dK. The sign-of-work three-panel figure that appears in chunk 4 illustrates work's sign, not the theorem.",0.6730
physics,11,5,Conservative and Non-Conservative Forces,b,free_body_forces,widget,none_symbolic,med,"Taught by the three equivalence tests (path independence, zero closed-loop work, recoverability) and worked partial-derivative checks. No path-comparison diagram is drawn.",0.5968
physics,11,5,Potential Energy,b,free_body_forces,widget,gap_potential_energy_curve,high,Chunk 10 draws 'A potential energy curve U(x) with a wavy shape... one valley... one hilltop... dashed line Total energy E... Turning points'. Outside xy_plot's five shapes.,0.5983
physics,11,5,Conservation of Mechanical Energy,b,free_body_forces,widget,labelled_figure,high,'A swinging pendulum shown at three positions... with a small energy bar beside each... Total height of each bar (E = K + U) is identical.' A drawn scene with callout labels.,0.6579
physics,11,5,Various Forms of Energy and Law of Conservation of Energy,b,free_body_forces,widget,process_flow,med,"Chunks 5/7 give a named chain: 'chemical energy (coal) -> heat energy -> kinetic energy (steam turbine) -> electrical energy -> light + heat', plus a 3-step tracking procedure.",0.7166
physics,11,5,Power,b,free_body_forces,widget,gap_area_under_curve,med,"Chunk 5 draws 'A power-versus-time (P-t) graph... a curve that rises and falls... shaded, Area under P-t curve = Work done' beside a W-t graph with a tangent. Shape not one of 5.",0.4571
physics,11,5,Collisions,b,motion_path,widget,labelled_figure,high,Chunk 1: 'A two-row schematic. Top row Head-on (1-D): two balls m1 and m2... Bottom row Oblique (2-D)... with the dashed line of impact marked through the contact point'.,0.5751
physics,11,5,Motion in a Vertical Circle,b,geometry_plane,widget,none_symbolic,med,"Cheat-sheet formulas only (T = mv^2/R + mg cos t, critical speeds sqrt(gR)/sqrt(3gR)/sqrt(5gR)). 'Sketch the circle and label them' is advice to the student, not a printed figure.",0.6230
physics,11,6,Rigid Bodies and Types of Motion,b,motion_path,widget,labelled_figure,high,'Figure 6.1 Three side-by-side panels. Panel 1 (Translation)... Panel 2 (Rotation): a disc with a fixed central axis... Panel 3 (General motion): a wheel with a velocity arrow.',0.6832
physics,11,6,Center of Mass,b,motion_path,widget,labelled_figure,med,"Figure 6.2: 'A semicircular wire of radius R centred at origin, flat diameter on the x-axis... A small element of arc at angle t... y-coordinate marked as R sin t'.",0.6522
physics,11,6,Motion of Center of Mass and Linear Momentum,b,motion_path,widget,none_symbolic,med,"Own content is v_cm, P = M v_cm and M a_cm = F_ext algebra with worked numbers; the only figure in its chunks (Figure 6.2, semicircular wire) belongs to the Center of Mass concept.",0.6418
physics,11,6,Vector Product of Two Vectors,b,geometry_3d,widget,none_symbolic,med,"Definition A x B = AB sin t n-hat, anti-commutativity, unit-vector cyclic products and the determinant form. The right-hand rule is described in words only; no figure is printed.",0.6022
physics,11,6,Rotational Kinematics,b,motion_path,widget,none_symbolic,low,"PASSES DISAGREE (labelled_figure vs none_symbolic); demoted. Angular kinematic equations plus the linear/rotational analogy table (9 symbol pairs, no numbers, over data_table_trend's 8-row cap). Figur",0.6515
physics,11,6,Torque and Angular Momentum,b,motion_path,widget,none_symbolic,med,"All 10 chunks come from this subtopic and contain only tau = r x F, L = r x p, dL/dt = tau derivations, MCQs and worked numbers. No figure appears in any of them.",0.7260
physics,11,6,Equilibrium of Rigid Bodies,b,motion_path,widget,labelled_figure,high,"Figure 6.4 (lever on a triangular fulcrum, F1/d1/F2/d2 about O), Figure 6.5 (beam with N_A, N_B) and Figure 6.6 (ladder with W, N_w, N_f, f) all appear with captions.",0.6827
physics,11,6,Moment of Inertia,b,motion_path,widget,labelled_figure,high,"Figure 6.7 (rod of length L with element dx, dashed rotation axis) and Figure 6.8 (solid sphere, disc-slice dy, r = sqrt(R^2-y^2)) appear with captions. Standard-I table is 9 rows.",0.6578
physics,11,6,Rotational Dynamics,b,motion_path,widget,labelled_figure,high,"'Figure 6.9 A rigid body rotating about a vertical axis. One particle of mass mi at distance ri from the axis, with a tangential force Fi... producing tangential acceleration ai.'",0.6370
physics,11,6,Rolling Motion,b,motion_path,widget,data_table_trend,med,"Chunk 6 'The master table (the smaller K2/R2, the faster the body)': sphere 2/5, disc 1/2, shell 2/3, ring 1 - 4 rows, monotone. Its third column is symbolic and must be dropped.",0.6505
physics,11,6,Angular Impulse and Collisions with Rigid Bodies,j,motion_path,widget,labelled_figure,med,'Figure 6.3 A horizontal rod pivoted at its left end... A bullet approaches the free right end... After impact the bullet is embedded and the system rotates with angular speed w.',0.5753
physics,11,7,Newton's Law of Gravitation,b,free_body_forces,widget,labelled_figure,high,"Figure 7.1 drawn: two spherical masses m1,m2 at separation r with F12/F21 arrows 'equal and opposite (Newton's 3rd law)'; Figure 7.2 rod with element dx and dF arrow.",0.6583
physics,11,7,The Gravitational Constant and Two-Body Systems,j,free_body_forces,widget,labelled_figure,high,"Figure 7.13 rendered: two stars m and 2m separated by d orbiting common centre C, with r1=2d/3, r2=d/3, v1, v2 called out. A drawn scene, not a graph.",0.7329
physics,11,7,Acceleration due to Gravity and Its Variation,b,free_body_forces,widget,none_symbolic,high,"All ten chunks are formulas (g=GM/R^2, g_h, g_d, g_lambda), CBSE derivations, worked numbers and MCQs. No figure caption or plotted graph appears anywhere.",0.6170
physics,11,7,Gravitational Field Intensity,b,free_body_forces,widget,labelled_figure,low,"PASSES DISAGREE (labelled_figure vs gap_piecewise_field_vs_r); demoted. Figs 7.3 (shell, point P), 7.4 (ring, dm, dE cos-theta), 7.6 (sphere with cavity, superposition vectors) are drawn labelled scen",0.7096
physics,11,7,Gravitational Potential,b,free_body_forces,widget,xy_plot,med,"Figure 7.8 is actually plotted with r(m)/U(J) axes as a hyperbola below the axis = reciprocal a/x, domain r>0. But the plotted quantity is U, not V; V=-GM/r only shares the shape.",0.6426
physics,11,7,Gravitational Potential Energy,b,free_body_forces,widget,xy_plot,high,"Figure 7.8 is an actual plot, axes r (m) vs U (J), curve U = -GMm/r 'a hyperbola lying entirely below the axis' — exactly xy_plot's reciprocal a/x+c, domain r>0.",0.6495
physics,11,7,Escape Velocity,b,motion_path,widget,none_symbolic,high,"Chunks are the energy-conservation derivation of v_e=sqrt(2GM/R), ratio traps, formula sheet and MCQs. The only figure retrieved (7.9, two masses approaching) is not about escape.",0.4784
physics,11,7,Kepler's Laws of Planetary Motion,b,motion_path,widget,labelled_figure,low,"PASSES DISAGREE (labelled_figure vs gap_orbital_ellipse); demoted. Fig 7.10 (mountain on curved Earth, horizontal-launch arcs closing into an orbit) and Fig 7.11 (ellipse, perigee/apogee, focus). Hori",0.5977
physics,11,7,Satellite Motion and Orbital Mechanics,b,motion_path,widget,labelled_figure,low,"PASSES DISAGREE (labelled_figure vs gap_orbital_ellipse); demoted. Same drawn scenes dominate: Figure 7.10 'orbit = perpetual free fall' and Figure 7.11 burn-point ellipse with r0, ra and empty focus ",0.6419
physics,11,7,Weightlessness,b,motion_path,widget,none_symbolic,high,"Top_sim only 0.439; retrieved chunks are g-variation cheat sheets, the equator-weightlessness numerical (omega=sqrt(g/R)) and two-body formulas. No figure at all.",0.4386
physics,11,8,"Stress, Strain and Hooke's Law",b,free_body_forces,widget,gap_stress_strain_curve,high,"Figure 8.1 is plotted with axes strain/stress(GPa), marking P, E, yield point, ultimate tensile strength peak and fracture — a yield-knee shape outside xy_plot's five closed forms.",0.6949
physics,11,8,Stress-Strain Curve and Yielding,b,free_body_forces,widget,gap_stress_strain_curve,high,"Figure 8.2 plots three curves on one axes — ductile, brittle, and an elastomer loading/unloading hysteresis loop. Multi-curve plus a closed loop: no registered widget can draw it.",0.6719
physics,11,8,Young's Modulus,b,free_body_forces,widget,data_table_trend,high,"Top chunk is the book's 'Representative elastic constants' table: 7 material rows (Steel..Rubber) x 4 numeric columns Y/eta/B/nu — within data_table_trend's 8-row, 4-column caps.",0.6247
physics,11,8,Bulk Modulus and Compressibility,b,free_body_forces,widget,none_symbolic,high,"All 10 chunks are definitions (B=-P/(dV/V), k=1/B), the isothermal/adiabatic derivation, worked numericals and MCQs. No figure and no table appears in this concept's chunks.",0.6025
physics,11,8,Shear Modulus,b,free_body_forces,widget,none_symbolic,low,PASSES DISAGREE (none_symbolic vs data_table_trend); demoted. Retrieved text is the definition eta=tau/phi plus the four-constant recap; no sheared-block figure is drawn. The elastic-constants table a,0.5790
physics,11,8,Poisson's Ratio,b,free_body_forces,widget,none_symbolic,high,"top_sim 0.457; chunks are the definition nu=-lateral/longitudinal, the log-differentiation volume derivation, energy formulas and MCQs. No figure or table referenced.",0.4572
physics,11,8,Relations Among Elastic Constants,b,free_body_forces,widget,none_symbolic,med,"Taught purely algebraically: Y=2eta(1+nu)=3B(1-2nu), eliminate nu to get 9/Y=1/B+3/eta. The constants table appears only once at chunk 6 as background reference.",0.6395
physics,11,8,Elastic Potential Energy,b,free_body_forces,widget,none_symbolic,high,"Integration derivation U=(1/2)F.dL, energy density u=sigma.eps/2, sudden-vs-gradual bookkeeping and numericals. 'Area under the curve' is discussed but no curve is plotted here.",0.5717
physics,11,8,Thermal Stress and Thermal Expansion,b,free_body_forces,widget,none_symbolic,high,"Chunks give sigma=Y.alpha.dT, the gap condition eps=alpha.dT-s/L, composite-rod compatibility equations and worked JEE numericals. No figure caption anywhere.",0.5360
physics,11,8,Applications of Elastic Behaviour,b,free_body_forces,widget,apparatus,med,"Searle's experiment is enumerated as labelled lab equipment (twin wires on one support, frame with spirit level and micrometer), but no figure is printed for this subtopic.",0.6464
physics,11,9,Fluid Pressure and Pascal's Law,b,free_body_forces,widget,labelled_figure,high,"Three drawn figures: 9.1 fluid column with P1A/P2A/mg arrows, 9.2 hydraulic lift with small and large pistons lifting a car, 9.3 U-tube with mercury and water columns.",0.7536
physics,11,9,Buoyancy and Floatation,b,free_body_forces,widget,labelled_figure,high,"Figure 9.4 draws the real body with inward pressure arrows (longer when deeper) beside the substituting fluid blob labelled m_f.g and F_B — a scene with callouts, not a graph.",0.6964
physics,11,9,Fluids in Accelerated and Rotating Frames,j,free_body_forces,widget,labelled_figure,high,"Figure 9.6 (tank on a cart, tilted surface, mg and ma on a surface element) and Figure 9.7 (rotating vessel, bowl surface, N/mg). Drawn vessels, not plotted axes, so not xy_plot.",0.6915
physics,11,9,Equation of Continuity,b,free_body_forces,widget,labelled_figure,high,"Figure 9.8 drawn: tube of flow, wide section A1/v1 and narrow A2/v2, shaded slugs of length v1.dt and v2.dt, with A1v1=A2v2 called out on the picture.",0.4466
physics,11,9,"Turbulent Flow, Critical Velocity and Reynolds Number",b,free_body_forces,widget,none_symbolic,high,"Chunks give only Re=rho.v.D/eta with the <1000 / >2000 thresholds, v_c=Re.eta/(rho.D) and cheat-sheet lines. No figure of turbulence or the transition is shown.",0.6216
physics,11,9,Bernoulli's Theorem,b,free_body_forces,widget,labelled_figure,high,"Figure 9.9 draws a tube of flow rising left to right with A1,v1,P1,h1 and A2,v2,P2,h2, P1A1 and P2A2 arrows and a reference level; Figure 9.8 accompanies it.",0.6278
physics,11,9,Viscosity and Newton's Law of Viscosity,b,free_body_forces,widget,none_symbolic,med,"Concept is carried by F=-eta.A.dv/dx, units/dimensions and the river-layer / paper-stack prose; no layered-flow figure is drawn. Fig 9.11 in these chunks belongs to Poiseuille.",0.6097
physics,11,9,Poiseuille's Law and Viscous Flow Resistance,j,free_body_forces,widget,labelled_figure,high,"Top chunk is Figure 9.11: horizontal tube radius R, coaxial cylinder s, P1/P2/l labelled, parabolic velocity profile drawn inside the pipe with v(R)=0 no-slip — not a plot on axes.",0.7840
physics,11,9,Stokes' Law and Terminal Velocity,b,free_body_forces,widget,gap_free_body_diagram,high,"Figure 9.10 is exactly a force-balance sketch on one body: sphere with W=(4/3)pi.r^3.rho_b.g down, F_B up, F_v=6.pi.eta.r.v up, 'At terminal velocity W=F_B+F_v'.",0.6421
physics,11,9,Surface Tension,b,free_body_forces,widget,labelled_figure,high,"Figure 9.12 (wire frame PQRS with sliding wire, 2Sl arrows, R'S') and Figure 9.13 (bubble cut into hemispheres, F_ST=4.pi.R.S vs F_P=dP.pi.R^2) are drawn labelled scenes.",0.6114
physics,11,9,Capillarity,b,free_body_forces,widget,labelled_figure,high,"Figure 9.14 draws the narrow tube dipped in a wetting liquid: concave meniscus, rise h, tube radius r, angle of contact theta, meniscus radius R = r/cos(theta), P0 markings.",0.5665
physics,11,10,Temperature and Thermometry,b,xy_plot,widget,none_symbolic,med,"No figure in chunks; only definitions, T=273.16 P/Ptr and worked numbers. The 'Thermometer/property/range' table is text with 16-19-char row labels, over data_table_trend caps.",0.5353
physics,11,10,Ideal Gas Equation and Absolute Temperature,b,thermo_pv,widget,none_symbolic,low,"PASSES DISAGREE (none_symbolic vs xy_plot); demoted. 'Plot the pressure ... and you get a straight line' is stated in words only; no figure appears. Rest is PV=nRT, Boyle/Charles/Gay-Lussac and worked",0.6518
physics,11,10,Thermal Expansion,b,xy_plot,widget,labelled_figure,high,"Figure 10.1 retrieved verbatim: 'solid cube of side L0 at T0 and, dashed, the expanded cube of side L = L0(1+alpha DeltaT) sharing one corner' - a drawn object with callouts.",0.5551
physics,11,10,Calorimetry and Specific Heat,b,xy_plot,widget,gap_heating_curve,low,"PASSES DISAGREE (data_table_trend vs gap_heating_curve); demoted. Figure 10.2 caption retrieved twice: 'Heating curve for 1 kg of ice... rising legs and flat plateaus at 0 C and 100 C'. Piecewise, non",0.5907
physics,11,10,Change of State and Latent Heat,b,xy_plot,widget,gap_heating_curve,high,'Plot pressure against temperature and you get a phase (P-T) diagram: three regions... three curves... triple point'; whole 'Reading the Phase Diagram' section. No widget fits.,0.5908
physics,11,10,Heat Conduction and Thermal Conductivity,b,xy_plot,widget,labelled_figure,high,"Figure 10.3 'Two conducting rods in series between reservoirs at T1 and T3 ... fixing the junction temperature T2' — a drawn scene with callout labels, not a graph or a circuit.",0.6013
physics,11,10,Convection,b,xy_plot,widget,none_symbolic,med,Book states convection is 'qualitative - no simple universal exam formula'; sea-breeze/land-breeze told in prose. No figure retrieved for it (chunks are conduction text).,0.4595
physics,11,10,Radiation and Stefan's Law,b,xy_plot,widget,none_symbolic,high,"All chunks are P=e.sigma.A.T^4, Wien, Kirchhoff statements plus worked T^4 numericals and MCQs. No figure for radiation appears anywhere in the retrieved text.",0.5926
physics,11,10,Newton's Law of Cooling,b,free_body_forces,widget,xy_plot,high,"Figure 10.5 is actually plotted (axes t 0-60 min, T 20-100 C): 'temperature falls steeply at first and flattens as it approaches Ts' = decaying exponential a e^(bx)+c.",0.6207
physics,11,10,Blackbody Radiation and Wien's Displacement Law,b,xy_plot,widget,none_symbolic,high,"Only lambda_m.T=b, black-body definition, Wien+Stefan worked examples and MCQs. The Planck spectral curve is never plotted in the retrieved chunks.",0.5448
physics,11,11,Zeroth Law and Thermal Equilibrium,b,thermo_pv,widget,process_flow,high,Figure 11.2 'A flow chart with five connected boxes: Thermal contact via diathermic wall -> Variables settle -> Equilibrium is transitive -> Define Temperature -> Thermometer'.,0.7198
physics,11,11,Thermodynamic Variables and State Functions,b,thermo_pv,widget,none_symbolic,med,"Taught as definitions/classification (state vs path, intensive vs extensive). The P-V indicator diagram is only mentioned in words; Figs 11.1/11.2 belong to the zeroth law.",0.7060
physics,11,11,Ideal Gas Law,b,thermo_pv,widget,none_symbolic,high,"Chunks are PV=nRT worked numericals (n=PV/RT, P1V1/T1=P2V2/T2) and practice answers. No figure for this concept; retrieval drifts into zeroth-law examples.",0.5210
physics,11,11,First Law of Thermodynamics,b,thermo_pv,widget,labelled_figure,high,Figure 11.3 'A vertical cylinder with a frictionless piston ... flame beneath labelled heat dQ in ... arrow gas does work dW ... internal energy U' - drawn scene with callouts.,0.6596
physics,11,11,Specific Heat Capacity and Mayer's Relation,b,thermo_pv,widget,data_table_trend,high,"Book prints 'Gas type | f | CV | CP | gamma' for Monoatomic/Diatomic/Polyatomic: 3 rows x 4 numeric cols (3,12.5,20.8,1.67 ...), all labels within caps, monotone in f.",0.6769
physics,11,11,Thermodynamic Processes,b,thermo_pv,widget,gap_pv_diagram,high,"Figure 11.5 plots FOUR curves from one point on P-V: vertical isochor, horizontal isobar, reciprocal isotherm, PV^gamma adiabat. xy_plot allows 2 curves, no power law.",0.6857
physics,11,11,"Heat Engines, Refrigerators and Heat Pumps",b,thermo_pv,widget,labelled_figure,low,"PASSES DISAGREE (labelled_figure vs gap_energy_flow_schematic); demoted. Figure 11.8: hot-reservoir box T1, arrow Q1 into a circle 'Engine', arrow W out, Q2 into cold box; mirrored refrigerator panel.",0.6781
physics,11,11,Second Law of Thermodynamics and Reversibility,b,thermo_pv,widget,labelled_figure,low,"PASSES DISAGREE (labelled_figure vs gap_energy_flow_schematic); demoted. Figure 11.9 'Two crossed-out impossible machines' — Kelvin-Planck engine with red cross, and Clausius cold->hot device with red",0.7750
physics,11,11,Carnot Engine and Carnot's Theorem,b,thermo_pv,widget,gap_pv_diagram,high,Figure 11.10 'A P-V diagram with a closed four-sided loop' A->B->C->D->A with shaded enclosed area. A closed loop is not single-valued y=f(x); no widget draws it.,0.7457
physics,11,11,Entropy and the Quantified Second Law,j,thermo_pv,widget,gap_entropy_growth_plot,high,"Figure 11.11 plots three labelled curves on one axis (S_universe monotone, S_system dipping, S_surroundings rising). xy_plot allows at most two closed-form curves.",0.6857
physics,11,12,Kinetic Theory: Assumptions and Molecular Nature,b,xy_plot,widget,none_symbolic,med,"Definitions (Dalton, Avogadro), order-of-magnitude scales, estimation procedures. The U(r) force-separation curve is described in prose only ('dips to a minimum at r0'); no figure.",0.6659
physics,11,12,Ideal Gas and Gas Laws,b,thermo_pv,widget,none_symbolic,high,"The only table is 'Law | Held constant | Statement | Equation' - categorical text, no measured numbers or trend. Rest is PV=nRT derivation, worked numericals, MCQs. No plot.",0.6840
physics,11,12,Kinetic Theory and Gas Pressure,b,xy_plot,widget,labelled_figure,med,Chunk 6 carries a captioned two-panel figure: 'Directed gas (all along x) ... Isotropic gas (random) ... Where the factor of 1/3 comes from: isotropy'. Unnumbered figure.,0.7806
physics,11,12,RMS Speed and Maxwell Distribution,b,field_lines,widget,gap_maxwell_distribution,high,"Book plots the Maxwell-Boltzmann curve (speed axis 0-3.0, vmp/vav/vrms markers, 'long high-speed tail', two curves lower T1 / higher T2). v^2 e^(-av^2) is none of the five shapes.",0.7282
physics,11,12,Degrees of Freedom and Equipartition of Energy,b,xy_plot,widget,data_table_trend,high,"Book prints 'Gas type | Translational | Rotational | f(room T) | f(high T)' for mono/di/non-linear poly: 3 rows x 4 numeric cols (3,0,3,3 / 3,2,5,7 / 3,3,6), within all caps.",0.5426
physics,11,12,Internal Energy and Specific Heat Capacities,b,thermo_pv,widget,data_table_trend,med,"'Standard values: Gas | f | CV | CP | gamma' (3/1.5R/2.5R/1.67; 5/2.5R/3.5R/1.40; 6/3R/4R/1.33) fits the caps, but retrieval for this concept is dominated by mean-free-path text.",0.5463
physics,11,12,Mean Free Path,b,motion_path,widget,none_symbolic,med,Collision-cylinder derivation is prose ('picture the moving molecule sweeping out a cylinder of radius d') plus lambda=kT/(sqrt2 pi d^2 P) and worked numbers; no figure is drawn.,0.5166
physics,11,13,SHM Kinematics and Equations,b,wave_form,widget,none_symbolic,high,"All 10 chunks are definitions, x/v/a derivations, worked numbers and MCQs. Q3 says the a-x graph 'is a straight line of negative slope' in words; no figure is plotted.",0.6340
