asset_slug,concept_slug,sub,batch,subject,class_,chapter,concept,file,width,height,sha256,cleanup,note,ncert_labels,licence,source_url,author,status
bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma--b,bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma,b,2,bio,12,Human Reproduction,"Female Reproductive System: Ovary, Oviduct, Uterus and Mammary Gland",masters/bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma--b.png,896,560,49b0694a3c30d8713bb1294dab6c16b4afbc238b7822625f237af923da0fe910,none,,"ovary, fallopian tube, infundibulum, fimbriae, ampulla, isthmus, uterus, fundus, cervix, vagina, endometrium, myometrium, perimetrium, mammary lobe, alveolus, mammary duct, lactiferous duct, nipple",generated-free,generated:gemini:batch2/bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma--b,"MonkLearning (AI-generated, Gemini)",accepted
bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma--c,bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma,c,2,bio,12,Human Reproduction,"Female Reproductive System: Ovary, Oviduct, Uterus and Mammary Gland",masters/bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma--c.png,896,560,377b6c047d1dc8d9a54443eb957feb02f9e760cd70eb75d7be156f4f1ac41c6a,none,,"ovary, fallopian tube, infundibulum, fimbriae, ampulla, isthmus, uterus, fundus, cervix, vagina, endometrium, myometrium, perimetrium, mammary lobe, alveolus, mammary duct, lactiferous duct, nipple",generated-free,generated:gemini:batch2/bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch15-formed-elements--rbc--wbc-and-platelets,bio11-ch15-formed-elements--rbc--wbc-and-platelets,,2,bio,11,Body Fluids and Circulation,"Formed Elements: RBC, WBC and Platelets",masters/bio11-ch15-formed-elements--rbc--wbc-and-platelets.png,952,595,81622a894d0bbd345863d45e9c5fc1760dc39d33b41d5a347462f7c269136c1d,none,,"erythrocyte, neutrophil, eosinophil, basophil, lymphocyte, monocyte, platelet, lobed nucleus, granule",generated-free,generated:gemini:batch2/bio11-ch15-formed-elements--rbc--wbc-and-platelets,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-connective-tissue--types-and-matrix--b,bio11-ch7-connective-tissue--types-and-matrix,b,2,bio,11,Structural Organisation in Animals,Connective Tissue: Types and Matrix,masters/bio11-ch7-connective-tissue--types-and-matrix--b.png,896,560,14054f4b6b982a2d42ab673f23b78fd174d0bc14b3b754794412ec04509b343c,none,,"fibroblast, collagen fibre, elastin fibre, macrophage, mast cell, matrix, adipocyte, fat droplet, tendon, chondrocyte, lacuna, osteocyte, Haversian canal, lamella, canaliculus",generated-free,generated:gemini:batch2/bio11-ch7-connective-tissue--types-and-matrix--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-connective-tissue--types-and-matrix--c,bio11-ch7-connective-tissue--types-and-matrix,c,2,bio,11,Structural Organisation in Animals,Connective Tissue: Types and Matrix,masters/bio11-ch7-connective-tissue--types-and-matrix--c.png,952,595,461c0ac78b205660e49e6c5392c8c78143bb81bcfcdacd1a33ff65ec08be1679,none,,"fibroblast, collagen fibre, elastin fibre, macrophage, mast cell, matrix, adipocyte, fat droplet, tendon, chondrocyte, lacuna, osteocyte, Haversian canal, lamella, canaliculus",generated-free,generated:gemini:batch2/bio11-ch7-connective-tissue--types-and-matrix--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-connective-tissue--types-and-matrix--d,bio11-ch7-connective-tissue--types-and-matrix,d,2,bio,11,Structural Organisation in Animals,Connective Tissue: Types and Matrix,masters/bio11-ch7-connective-tissue--types-and-matrix--d.png,924,578,0a3be6a5ce8821fcba031de8343ae9488e16117ed419846d602fb89536741209,none,,"fibroblast, collagen fibre, elastin fibre, macrophage, mast cell, matrix, adipocyte, fat droplet, tendon, chondrocyte, lacuna, osteocyte, Haversian canal, lamella, canaliculus",generated-free,generated:gemini:batch2/bio11-ch7-connective-tissue--types-and-matrix--d,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-connective-tissue--types-and-matrix--f,bio11-ch7-connective-tissue--types-and-matrix,f,2,bio,11,Structural Organisation in Animals,Connective Tissue: Types and Matrix,masters/bio11-ch7-connective-tissue--types-and-matrix--f.png,952,595,f55a346e0519394a4b364e30b1c42269f1fb7203d3d78f68070abf5fbbd89898,none,,"fibroblast, collagen fibre, elastin fibre, macrophage, mast cell, matrix, adipocyte, fat droplet, tendon, chondrocyte, lacuna, osteocyte, Haversian canal, lamella, canaliculus",generated-free,generated:gemini:batch2/bio11-ch7-connective-tissue--types-and-matrix--f,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-muscular-tissue--skeletal--smooth-and-cardiac--b,bio11-ch7-muscular-tissue--skeletal--smooth-and-cardiac,b,2,bio,11,Structural Organisation in Animals,"Muscular Tissue: Skeletal, Smooth and Cardiac",masters/bio11-ch7-muscular-tissue--skeletal--smooth-and-cardiac--b.png,952,595,d3bb7699bcd316a826dc5dea65e10d46221f41a6c017cb7adba94bbacad8919d,none,,"skeletal muscle fibre, striation, nucleus, sarcolemma, smooth muscle fibre, spindle shape, cardiac muscle fibre, intercalated disc, branching",generated-free,generated:gemini:batch2/bio11-ch7-muscular-tissue--skeletal--smooth-and-cardiac--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-muscular-tissue--skeletal--smooth-and-cardiac--c,bio11-ch7-muscular-tissue--skeletal--smooth-and-cardiac,c,2,bio,11,Structural Organisation in Animals,"Muscular Tissue: Skeletal, Smooth and Cardiac",masters/bio11-ch7-muscular-tissue--skeletal--smooth-and-cardiac--c.png,952,595,f48680d46ac7112fe90a450c6c51515daee150738b3cbc1bd36fe9f70c6e8d25,none,,"skeletal muscle fibre, striation, nucleus, sarcolemma, smooth muscle fibre, spindle shape, cardiac muscle fibre, intercalated disc, branching",generated-free,generated:gemini:batch2/bio11-ch7-muscular-tissue--skeletal--smooth-and-cardiac--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-earthworm--morphology-and-digestive-system--b,bio11-ch7-earthworm--morphology-and-digestive-system,b,2,bio,11,Structural Organisation in Animals,Earthworm: Morphology and Digestive System,masters/bio11-ch7-earthworm--morphology-and-digestive-system--b.png,896,560,d643b1170cc37d5e28c746e518a502e61948f4881f9ca425bbddebcf5a3021b1,strip_labels,labels + segment numbers,"prostomium, peristomium, mouth, clitellum, seta, genital papilla, female genital pore, male genital pore, spermathecal pore, anus, buccal cavity, pharynx, oesophagus, gizzard, stomach, intestine, typhlosole, calciferous gland, intestinal caeca",generated-free,generated:gemini:batch2/bio11-ch7-earthworm--morphology-and-digestive-system--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch5-root-system--types--regions-and-modifications--a,bio11-ch5-root-system--types--regions-and-modifications,a,3,bio,11,Morphology of Flowering Plants,"Root System: Types, Regions and Modifications",masters/bio11-ch5-root-system--types--regions-and-modifications--a.png,896,560,83fb61e47999ae1ee0ae115ec22d1a6fc5c9c99ecd57d308106ea1082f9ed3ca,strip_labels,species captions,"tap root, lateral root, fibrous root, root cap, region of meristematic activity, region of elongation, region of maturation, root hair, conical root, fusiform root, napiform root, prop root, stilt root, pneumatophore",generated-free,generated:gemini:batch3/bio11-ch5-root-system--types--regions-and-modifications--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch5-root-system--types--regions-and-modifications--b,bio11-ch5-root-system--types--regions-and-modifications,b,3,bio,11,Morphology of Flowering Plants,"Root System: Types, Regions and Modifications",masters/bio11-ch5-root-system--types--regions-and-modifications--b.png,1434,896,57f0598ff634073e6a879712c2bbd6f8520a7c7f558ba91cfdda1d29e32b3890,none,square canvas,"tap root, lateral root, fibrous root, root cap, region of meristematic activity, region of elongation, region of maturation, root hair, conical root, fusiform root, napiform root, prop root, stilt root, pneumatophore",generated-free,generated:gemini:batch3/bio11-ch5-root-system--types--regions-and-modifications--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch5-root-system--types--regions-and-modifications--c,bio11-ch5-root-system--types--regions-and-modifications,c,3,bio,11,Morphology of Flowering Plants,"Root System: Types, Regions and Modifications",masters/bio11-ch5-root-system--types--regions-and-modifications--c.png,1434,896,93238d283549fe60ec797938eb51aa4708933219b1edb38ad6da660ea3a7a18c,strip_labels,species captions; square canvas,"tap root, lateral root, fibrous root, root cap, region of meristematic activity, region of elongation, region of maturation, root hair, conical root, fusiform root, napiform root, prop root, stilt root, pneumatophore",generated-free,generated:gemini:batch3/bio11-ch5-root-system--types--regions-and-modifications--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch5-root-system--types--regions-and-modifications--d,bio11-ch5-root-system--types--regions-and-modifications,d,3,bio,11,Morphology of Flowering Plants,"Root System: Types, Regions and Modifications",masters/bio11-ch5-root-system--types--regions-and-modifications--d.png,896,560,a6609db5896243534b555f952f0f2ccbc6a56d90b1a263e58560c32dc657206a,strip_labels,species captions,"tap root, lateral root, fibrous root, root cap, region of meristematic activity, region of elongation, region of maturation, root hair, conical root, fusiform root, napiform root, prop root, stilt root, pneumatophore",generated-free,generated:gemini:batch3/bio11-ch5-root-system--types--regions-and-modifications--d,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch5-stem--modifications-and-functions--a,bio11-ch5-stem--modifications-and-functions,a,3,bio,11,Morphology of Flowering Plants,Stem: Modifications and Functions,masters/bio11-ch5-stem--modifications-and-functions--a.png,896,560,5a00579b36954fcf43666ce90224224ea617426c7b857502057c406bd6d2f1c7,strip_labels,captions,"tuber, eye, rhizome, node, corm, bulb, runner, stolon, offset, sucker, phylloclade, thorn, tendril",generated-free,generated:gemini:batch3/bio11-ch5-stem--modifications-and-functions--a,"MonkLearning (AI-generated, Gemini)",accepted
